ES-HyperNEAT,1,160,3.988758,0.718103,1.000000
ES-HyperNEAT,2,320,4.010019,3.304980,1.006250
ES-HyperNEAT,3,480,3.989677,3.715406,1.075000
ES-HyperNEAT,4,640,3.985185,3.430347,1.068750
ES-HyperNEAT,5,800,4.011788,3.775988,1.075000
ES-HyperNEAT,6,960,4.056050,3.352630,1.156250
ES-HyperNEAT,7,1,120,4.296896,3.443329,1.218750
ES-HyperNEAT,8,1,280,4.177395,3.121371,1.337500
ES-HyperNEAT,9,1,440,4.076029,2.970855,1.481250
ES-HyperNEAT,10,1,600,4.157707,2.949081,1.700000
ES-HyperNEAT,11,1,760,4.178556,2.805120,1.925000
ES-HyperNEAT,12,1,920,4.158388,2.958154,1.843750
ES-HyperNEAT,13,2,080,4.172329,2.924421,1.987500
ES-HyperNEAT,14,2,240,4.161281,3.069623,2.143750
ES-HyperNEAT,15,2,400,4.177318,2.918984,2.243750
ES-HyperNEAT,16,2,560,4.172984,3.047220,2.137500
ES-HyperNEAT,17,2,720,4.163155,2.974557,2.343750
ES-HyperNEAT,18,2,880,4.172487,3.244948,2.481250
ES-HyperNEAT,19,3,040,4.161600,3.239005,2.237500
ES-HyperNEAT,20,3,200,4.180348,3.026686,2.431250
ES-HyperNEAT,21,3,360,4.161381,2.843059,2.600000
ES-HyperNEAT,22,3,520,4.160607,3.150045,2.468750
ES-HyperNEAT,23,3,680,4.175501,3.076591,2.668750
ES-HyperNEAT,24,3,840,4.167682,3.178512,2.600000
ES-HyperNEAT,25,4,000,4.161131,3.181088,2.506250
ES-HyperNEAT,26,4,160,4.173174,3.143711,2.800000
ES-HyperNEAT,27,4,320,4.162798,3.254450,3.162500
ES-HyperNEAT,28,4,480,4.167581,3.310495,3.300000
ES-HyperNEAT,29,4,640,4.170405,3.279933,3.537500
ES-HyperNEAT,30,4,800,4.162789,3.576666,3.362500
ES-HyperNEAT,31,4,960,4.166285,3.464432,3.625000
ES-HyperNEAT,32,5,120,4.167954,3.331085,3.768750
ES-HyperNEAT,33,5,280,4.159949,3.291412,3.668750
ES-HyperNEAT,34,5,440,4.158639,3.543663,3.918750
ES-HyperNEAT,35,5,600,4.165336,3.547067,3.906250
ES-HyperNEAT,36,5,760,4.173628,3.352613,3.918750
ES-HyperNEAT,37,5,920,4.177513,3.451454,3.906250
ES-HyperNEAT,38,6,080,4.162102,3.555578,4.043750
ES-HyperNEAT,39,6,240,4.172723,3.385864,3.875000
ES-HyperNEAT,40,6,400,4.170071,3.469307,3.887500
ES-HyperNEAT,41,6,560,4.174531,3.436771,3.975000
ES-HyperNEAT,42,6,720,4.170661,3.348189,4.006250
ES-HyperNEAT,43,6,880,4.066145,3.503522,4.006250
ES-HyperNEAT,44,7,040,4.164260,3.386281,4.018750
ES-HyperNEAT,45,7,200,4.158454,3.325206,4.006250
ES-HyperNEAT,46,7,360,4.172174,3.200252,4.018750
ES-HyperNEAT,47,7,520,4.176120,3.263803,4.087500
ES-HyperNEAT,48,7,680,4.175599,3.515529,4.137500
ES-HyperNEAT,49,7,840,4.169527,3.536715,4.293750
ES-HyperNEAT,50,8,000,4.175466,3.674684,4.218750
ES-HyperNEAT,51,8,160,4.175336,3.505064,4.275000
ES-HyperNEAT,52,8,320,4.256907,3.588222,4.331250
ES-HyperNEAT,53,8,480,4.171437,3.558478,4.100000
ES-HyperNEAT,54,8,640,4.181554,3.591909,4.012500
ES-HyperNEAT,55,8,800,4.175301,3.423107,4.068750
ES-HyperNEAT,56,8,960,4.171812,3.043896,4.000000
ES-HyperNEAT,57,9,120,4.177537,3.407661,4.012500
ES-HyperNEAT,58,9,280,4.244873,3.426919,4.068750
ES-HyperNEAT,59,9,440,4.171886,3.406086,4.093750
ES-HyperNEAT,60,9,600,4.244877,3.581866,4.156250
ES-HyperNEAT,61,9,760,4.145684,3.385802,4.012500
ES-HyperNEAT,62,9,920,4.164839,3.418709,4.006250
ES-HyperNEAT,63,10,080,4.147543,3.418605,4.012500
ES-HyperNEAT,64,10,240,4.158692,3.379169,4.018750
ES-HyperNEAT,65,10,400,4.164510,3.196657,4.000000
ES-HyperNEAT,66,10,560,4.176472,3.136869,4.006250
ES-HyperNEAT,67,10,720,4.171320,3.284919,4.012500
ES-HyperNEAT,68,10,880,4.155403,3.428312,3.993750
ES-HyperNEAT,69,11,040,4.167591,3.482959,3.962500
ES-HyperNEAT,70,11,200,4.161661,3.566412,3.943750
ES-HyperNEAT,71,11,360,4.172003,3.499932,4.006250
ES-HyperNEAT,72,11,520,4.161373,3.538956,4.012500
ES-HyperNEAT,73,11,680,4.160018,3.492707,4.025000
ES-HyperNEAT,74,11,840,4.251650,3.347768,4.018750
ES-HyperNEAT,75,12,000,4.159602,3.567775,4.006250
ES-HyperNEAT,76,12,160,4.159795,3.523298,4.006250
ES-HyperNEAT,77,12,320,4.162039,3.405884,4.000000
ES-HyperNEAT,78,12,480,4.172232,3.375265,4.012500
ES-HyperNEAT,79,12,640,4.160603,3.359242,4.000000
ES-HyperNEAT,80,12,800,4.171703,3.396483,4.006250
ES-HyperNEAT,81,12,960,4.172632,3.555563,4.068750
ES-HyperNEAT,82,13,120,4.172506,3.594606,4.068750
ES-HyperNEAT,83,13,280,4.181914,3.522138,4.062500
ES-HyperNEAT,84,13,440,4.253119,3.485339,4.025000
ES-HyperNEAT,85,13,600,4.159410,3.360796,4.012500
ES-HyperNEAT,86,13,760,4.185356,3.323480,4.018750
ES-HyperNEAT,87,13,920,4.172849,3.444712,4.006250
ES-HyperNEAT,88,14,080,4.176155,3.523764,4.006250
ES-HyperNEAT,89,14,240,4.174048,3.458256,4.006250
ES-HyperNEAT,90,14,400,4.285980,3.553203,4.012500
ES-HyperNEAT,91,14,560,4.162488,3.251858,4.106250
ES-HyperNEAT,92,14,720,4.066760,3.332563,4.100000
ES-HyperNEAT,93,14,880,4.175100,3.514405,4.000000
ES-HyperNEAT,94,15,040,4.170161,3.650732,4.018750
ES-HyperNEAT,95,15,200,4.244980,3.630696,4.006250
ES-HyperNEAT,96,15,360,4.172812,3.421455,4.012500
ES-HyperNEAT,97,15,520,4.245782,3.328597,4.018750
ES-HyperNEAT,98,15,680,4.144463,3.423646,4.075000
ES-HyperNEAT,99,15,840,4.157081,3.523916,4.118750
ES-HyperNEAT,100,16,000,4.266905,3.598029,4.056250
ES-HyperNEAT,101,16,160,4.173854,3.716669,4.068750
ES-HyperNEAT,102,16,320,4.258367,3.626127,4.025000
ES-HyperNEAT,103,16,480,4.253222,3.457881,4.131250
ES-HyperNEAT,104,16,640,4.175285,3.312784,4.100000
